Term,Definition,Alphabet,Slug,URL,Image
Git Commit,Saving a snapshot of changes in Git to the repository history.,G,,,
Git Push,Sending local commits to a remote Git repository.,G,,,
Git Pull,Fetching and merging changes from a remote Git repository into the local repository.,G,,,
Grid System,A layout system in CSS frameworks like Bootstrap for responsive design.,G,,,
Google Cloud,A suite of cloud computing services offered by Google.,G,,,
Git Stash,Temporarily saving changes in Git without committing them.,G,,,
Git Checkout,Switching between branches or restoring files in Git.,G,,,
Graph Database,"A database that stores data as nodes, edges, and properties for complex relationships.",G,,,
Git Revert,Undoing a commit by creating a new commit that reverses its changes.,G,,,
Git Tag,"Labeling specific commits in Git, often used for releases.",G,,,
Git Clone,Creating a local copy of a remote Git repository.,G,,,
Gradient,"A gradual transition between colors or values, often used in CSS or graphics.",G,,,
Gateway,A network device or service that connects different networks and manages traffic.,G,,,
Git Fetch,"Downloading commits, files, and references from a remote repository without merging.",G,,,
Git Log,Viewing the history of commits in a Git repository.,G,,,
Git Diff,"Comparing changes between commits, branches, or files in Git.",G,,,
Gantt Chart,A visual representation of a project schedule showing tasks over time.,G,,,
GitHub Actions,A CI/CD platform integrated with GitHub for automating workflows.,G,,,
Git Conflict,A situation in Git when changes from different branches cannot be automatically merged.,G,,,
Git Rebase,Reapplying commits on top of another base commit to maintain a linear history.,G,,,
Git Remote,A reference to a remote repository in Git.,G,,,
Git Workflow,A structured process for using Git commands to manage development.,G,,,
Garbage Collector,A component in programming languages that automatically frees unused memory.,G,,,
Graph Theory,The study of graphs and their properties in computer science and mathematics.,G,,,
GitHub Repository,A repository hosted on GitHub containing project files and Git history.,G,,,
Grid Layout,CSS layout model using rows and columns to arrange elements on a web page.,G,,,
Game Engine,Software framework for creating and developing video games.,G,,,
Git Hook,Scripts that run automatically in response to Git events like commits or merges.,G,,,
Git Repository,A data structure used by Git to store project files and history.,G,,,
GitHub Pages,A service to host static websites directly from a GitHub repository.,G,,,
Git Init,Initializing a new Git repository in a project directory.,G,,,
Git Branching,Creating and managing multiple development lines in Git.,G,,,
Git Pull Request,A method to propose changes from one branch to be merged into another on platforms like GitHub.,G,,,
Git Submodule,A repository embedded inside another Git repository for modular projects.,G,,,
Git Reflog,"A log of all reference updates in Git, useful for recovering lost commits.",G,,,
Git Blame,A command to identify which commit last modified each line of a file.,G,,,
Git Reset,"Undoing commits in Git, either soft (keeping changes) or hard (discarding changes).",G,,,
Git Bisect,A Git tool to find the commit that introduced a bug using binary search.,G,,,
HTML,HyperText Markup Language; the standard language for creating web pages.,H,,,
HTTP,HyperText Transfer Protocol; the protocol used for communication between web clients and servers.,H,,,
HTTPS,Secure version of HTTP that encrypts data between client and server.,H,,,
Header,A section of code or metadata at the top of a file or HTTP request/response.,H,,,
Heap,A memory area used for dynamic memory allocation in programming.,H,,,
Hardware,The physical components of a computer or electronic system.,H,,,
Hybrid App,A mobile application built using web technologies and wrapped for native deployment.,H,,,
Hosting,The service of storing and serving websites or applications on servers.,H,,,
Hook,"In React, a special function that lets you use state and lifecycle features in functional components.",H,,,
Hyperlink,A clickable link in a document that navigates to another location or resource.,H,,,
Hypervisor,Software that allows multiple operating systems to run on a single physical machine (virtualization).,H,,,
HTML Form,A section of an HTML page used to collect user input.,H,,,
HTTP Header,Metadata sent in HTTP requests or responses to convey information about the request or response.,H,,,
Hash Function,"A function that converts input data into a fixed-size string or number, often used in security and data structures.",H,,,
Hash Table,A data structure that maps keys to values for fast lookup.,H,,,
HMAC,Hash-based Message Authentication Code; a mechanism for verifying data integrity and authenticity.,H,,,
HTML Element,"A building block of an HTML document, such as <div>, <p>, or <a>.",H,,,
HTML Attribute,"A property of an HTML element that provides additional information, e.g., class, id.",H,,,
HTTP Status Code,A numeric code sent by a server to indicate the result of an HTTP request.,H,,,
Hot Reload,A feature in development that updates the application immediately when code changes.,H,,,
Headless CMS,A content management system that delivers content via API without a built-in frontend.,H,,,
Hosting Provider,A company or service that provides infrastructure to host websites or applications.,H,,,
Heap Memory,Memory used by programs to store objects and data dynamically during execution.,H,,,
Hexadecimal,A base-16 numbering system commonly used in programming and memory addresses.,H,,,
HTTPS Certificate,A digital certificate used to establish secure communication over HTTPS.,H,,,
High-Level Language,"A programming language that abstracts away hardware details, e.g., Python, JavaScript.",H,,,
HTML5,"The latest version of HTML, introducing new semantic elements, APIs, and multimedia support.",H,,,
Hardware Acceleration,Using specialized hardware to perform tasks more efficiently than software alone.,H,,,
Hashing,The process of transforming data into a fixed-size hash code using a hash function.,H,,,
Hub,A network device that connects multiple computers in a network.,H,,,
Hybrid Cloud,A computing environment combining public and private cloud resources.,H,,,
Horizontal Scaling,Adding more machines to a system to handle increased load.,H,,,
Hosting Environment,"The setup where a website or application runs, e.g., local, staging, production.",H,,,
HTTP Request,A message sent by a client to a server to request data or perform actions.,H,,,
HTTP Response,A message sent by a server in reply to a client’s HTTP request.,H,,,
Hardware Interface,The physical or logical connection between software and hardware devices.,H,,,
Handshake,"A process of establishing a connection or agreement between two systems, often in networking or security.",H,,,
HTML Template,A reusable HTML structure used in web frameworks like Django or Flask.,H,,,
Hook Effect,"In programming, a term describing unexpected behavior in event-driven hooks or observers.",H,,,
Headless Browser,"A browser that runs without a graphical interface, used for automated testing or scraping.",H,,,
Hardware Interrupt,A signal from a hardware device that temporarily halts CPU execution to handle events.,H,,,
HTML Canvas,An HTML element used for drawing graphics and animations via JavaScript.,H,,,
Heap Sort,A comparison-based sorting algorithm that uses a heap data structure.,H,,,
Hardware Driver,Software that allows the operating system to communicate with hardware components.,H,,,
Hybrid Routing,Combining multiple routing methods in networking for efficient data transfer.,H,,,
Hotfix,A quick software update to fix a critical bug or vulnerability.,H,,,
HTML Table,An HTML element used to display tabular data on a web page.,H,,,
Hash Map,A data structure implementing key-value pairs with fast lookup using hashing.,H,,,
Hostname,The human-readable name assigned to a device on a network.,H,,,
HTML Semantics,The use of HTML tags according to their meaning to improve accessibility and SEO.,H,,,
HTTP Method,"The type of action requested in an HTTP request, e.g., GET, POST, PUT, DELETE.",H,,,
